"movies","genre","rating","stars","votes","runtime","gross"
"Tonari no Totoro","
Animation, Family, Fantasy            ",8.2,"
    Director:
Hayao Miyazaki
| 
    Stars:
Hitoshi Takagi, 
Noriko Hidaka, 
Chika Sakamoto, 
Shigesato Itoi
",305790,86,1.11
"The Quick and the Dead","
Action, Romance, Thriller            ",6.4,"
    Director:
Sam Raimi
| 
    Stars:
Sharon Stone, 
Gene Hackman, 
Russell Crowe, 
Leonardo DiCaprio
",88608,107,18.64
"Knocked Up","
Comedy, Romance            ",6.9,"
    Director:
Judd Apatow
| 
    Stars:
Seth Rogen, 
Katherine Heigl, 
Paul Rudd, 
Leslie Mann
",356979,129,148.73
"Fatal Attraction","
Drama, Thriller            ",6.9,"
    Director:
Adrian Lyne
| 
    Stars:
Michael Douglas, 
Glenn Close, 
Anne Archer, 
Ellen Latzen
",79936,119,156.65
"Dreamgirls","
Drama, Music, Musical            ",6.5,"
    Director:
Bill Condon
| 
    Stars:
Beyoncé, 
Jamie Foxx, 
Eddie Murphy, 
Danny Glover
",70985,130,103.37
"Smokin' Aces","
Action, Comedy, Crime            ",6.7,"
    Director:
Joe Carnahan
| 
    Stars:
Jeremy Piven, 
Ryan Reynolds, 
Ray Liotta, 
Joseph Ruskin
",140790,109,35.66
"Serenity","
Drama, Mystery, Thriller            ",5.4,"
    Director:
Steven Knight
| 
    Stars:
Matthew McConaughey, 
Anne Hathaway, 
Diane Lane, 
Jason Clarke
",38364,106,8.55
"Hotel Transylvania 3: Summer Vacation","
Animation, Adventure, Comedy            ",6.3,"
    Director:
Genndy Tartakovsky
| 
    Stars:
Adam Sandler, 
Andy Samberg, 
Selena Gomez, 
Kevin James
",62255,97,167.51
"Triple 9","
Action, Crime, Thriller            ",6.3,"
    Director:
John Hillcoat
| 
    Stars:
Casey Affleck, 
Chiwetel Ejiofor, 
Anthony Mackie, 
Aaron Paul
",69234,115,12.63
"Easy Rider","
Adventure, Drama            ",7.3,"
    Director:
Dennis Hopper
| 
    Stars:
Peter Fonda, 
Dennis Hopper, 
Jack Nicholson, 
Antonio Mendoza
",104511,95,41.73
"A Walk to Remember","
Drama, Romance            ",7.3,"
    Director:
Adam Shankman
| 
    Stars:
Mandy Moore, 
Shane West, 
Peter Coyote, 
Daryl Hannah
",203383,101,41.23
"Lilo & Stitch","
Animation, Adventure, Comedy            ",7.3,"
    Directors:
Dean DeBlois, 
Chris Sanders
| 
    Stars:
Daveigh Chase, 
Chris Sanders, 
Tia Carrere, 
David Ogden Stiers
",175052,85,145.79
"Operation Finale","
Biography, Drama, History            ",6.6,"
    Director:
Chris Weitz
| 
    Stars:
Oscar Isaac, 
Ben Kingsley, 
Mélanie Laurent, 
Lior Raz
",36593,122,17.61
"Locke","
Drama            ",7.1,"
    Director:
Steven Knight
| 
    Stars:
Tom Hardy, 
Olivia Colman, 
Ruth Wilson, 
Andrew Scott
",140930,85,1.36
"A Cinderella Story","
Comedy, Family, Romance            ",5.9,"
    Director:
Mark Rosman
| 
    Stars:
Hilary Duff, 
Chad Michael Murray, 
Jennifer Coolidge, 
Dan Byrd
",82876,95,51.44
"Escape Plan","
Action, Thriller            ",6.7,"
    Director:
Mikael Håfström
| 
    Stars:
Sylvester Stallone, 
Arnold Schwarzenegger, 
50 Cent, 
Vincent D'Onofrio
",233030,115,25.13
"Life of Brian","
Comedy            ",8.1,"
    Director:
Terry Jones
| 
    Stars:
Graham Chapman, 
John Cleese, 
Michael Palin, 
Terry Gilliam
",378134,94,20.05
"Colombiana","
Action, Drama, Thriller            ",6.4,"
    Director:
Olivier Megaton
| 
    Stars:
Zoe Saldana, 
Michael Vartan, 
Callum Blue, 
Jordi Mollà
",97146,108,36.67
"Resident Evil: The Final Chapter","
Action, Horror, Sci-Fi            ",5.5,"
    Director:
Paul W.S. Anderson
| 
    Stars:
Milla Jovovich, 
Iain Glen, 
Ali Larter, 
Shawn Roberts
",87437,107,26.83
"Dirty Grandpa","
Comedy            ",5.9,"
    Director:
Dan Mazer
| 
    Stars:
Robert De Niro, 
Zac Efron, 
Zoey Deutch, 
Aubrey Plaza
",117026,102,35.59
"Late Night","
Comedy, Drama            ",6.5,"
    Director:
Nisha Ganatra
| 
    Stars:
Emma Thompson, 
Mindy Kaling, 
John Lithgow, 
Hugh Dancy
",33065,102,15.5
"The Duff","
Comedy, Romance            ",6.5,"
    Director:
Ari Sandel
| 
    Stars:
Mae Whitman, 
Bella Thorne, 
Robbie Amell, 
Allison Janney
",86929,101,34.02
"You're Next","
Horror, Thriller            ",6.6,"
    Director:
Adam Wingard
| 
    Stars:
Sharni Vinson, 
Joe Swanberg, 
AJ Bowen, 
Nicholas Tucci
",92232,95,18.47
"The Lincoln Lawyer","
Crime, Drama, Mystery            ",7.3,"
    Director:
Brad Furman
| 
    Stars:
Matthew McConaughey, 
Marisa Tomei, 
Ryan Phillippe, 
William H. Macy
",222054,118,58.01
"Pixels","
Action, Comedy, Fantasy            ",5.5,"
    Director:
Chris Columbus
| 
    Stars:
Adam Sandler, 
Kevin James, 
Michelle Monaghan, 
Peter Dinklage
",135509,105,78.75
"The Ten Commandments","
Adventure, Drama            ",7.9,"
    Director:
Cecil B. DeMille
| 
    Stars:
Charlton Heston, 
Yul Brynner, 
Anne Baxter, 
Edward G. Robinson
",66532,220,93.74
"Live by Night","
Action, Crime, Drama            ",6.4,"
    Director:
Ben Affleck
| 
    Stars:
Ben Affleck, 
Elle Fanning, 
Brendan Gleeson, 
Chris Messina
",54010,129,10.38
"Sabotage","
Action, Crime, Drama            ",5.7,"
    Director:
David Ayer
| 
    Stars:
Arnold Schwarzenegger, 
Sam Worthington, 
Terrence Howard, 
Olivia Williams
",61545,109,10.51
"Despicable Me 2","
Animation, Adventure, Comedy            ",7.3,"
    Directors:
Pierre Coffin, 
Chris Renaud
| 
    Stars:
Steve Carell, 
Kristen Wiig, 
Benjamin Bratt, 
Miranda Cosgrove
",377936,98,368.06
"Oz the Great and Powerful","
Adventure, Family, Fantasy            ",6.3,"
    Director:
Sam Raimi
| 
    Stars:
James Franco, 
Michelle Williams, 
Rachel Weisz, 
Mila Kunis
",201707,130,234.91
"CHIPS","
Action, Comedy, Crime            ",6,"
    Director:
Dax Shepard
| 
    Stars:
Michael Peña, 
Dax Shepard, 
Vincent D'Onofrio, 
Rosa Salazar
",44487,100,18.6
"Taken 3","
Action, Crime, Thriller            ",6,"
    Director:
Olivier Megaton
| 
    Stars:
Liam Neeson, 
Forest Whitaker, 
Maggie Grace, 
Famke Janssen
",183595,108,89.26
"Out of the Furnace","
Action, Crime, Drama            ",6.8,"
    Director:
Scott Cooper
| 
    Stars:
Christian Bale, 
Casey Affleck, 
Zoe Saldana, 
Woody Harrelson
",110076,116,11.33
"Noah","
Action, Adventure, Drama            ",5.7,"
    Director:
Darren Aronofsky
| 
    Stars:
Russell Crowe, 
Jennifer Connelly, 
Anthony Hopkins, 
Emma Watson
",247033,138,101.2
"Takers","
Action, Crime, Thriller            ",6.2,"
    Director:
John Luessenhop
| 
    Stars:
Chris Brown, 
Hayden Christensen, 
Matt Dillon, 
Michael Ealy
",59882,107,57.74
"Lord of War","
Action, Crime, Drama            ",7.6,"
    Director:
Andrew Niccol
| 
    Stars:
Nicolas Cage, 
Ethan Hawke, 
Jared Leto, 
Bridget Moynahan
",300344,122,24.15
"Blue Jasmine","
Comedy, Drama            ",7.3,"
    Director:
Woody Allen
| 
    Stars:
Cate Blanchett, 
Alec Baldwin, 
Peter Sarsgaard, 
Sally Hawkins
",195580,98,33.41
"The Expendables 2","
Action, Adventure, Thriller            ",6.6,"
    Director:
Simon West
| 
    Stars:
Sylvester Stallone, 
Liam Hemsworth, 
Randy Couture, 
Jean-Claude Van Damme
",296948,103,85.02
"Conan the Barbarian","
Action, Adventure, Fantasy            ",5.2,"
    Director:
Marcus Nispel
| 
    Stars:
Jason Momoa, 
Ron Perlman, 
Rose McGowan, 
Stephen Lang
",96638,113,21.3
"Battle of Britain","
Action, Drama, History            ",7,"
    Director:
Guy Hamilton
| 
    Stars:
Michael Caine, 
Trevor Howard, 
Harry Andrews, 
Curd Jürgens
",21366,132,4.36
"Begin Again","
Comedy, Drama, Music            ",7.4,"
    Director:
John Carney
| 
    Stars:
Keira Knightley, 
Mark Ruffalo, 
Adam Levine, 
Hailee Steinfeld
",147794,104,16.17
"The Invitation","
Drama, Mystery, Thriller            ",6.6,"
    Director:
Karyn Kusama
| 
    Stars:
Logan Marshall-Green, 
Emayatzy Corinealdi, 
Michiel Huisman, 
Tammy Blanchard
",100313,100,0.23
"Flashdance","
Drama, Music, Romance            ",6.2,"
    Director:
Adrian Lyne
| 
    Stars:
Jennifer Beals, 
Michael Nouri, 
Lilia Skala, 
Sunny Johnson
",49826,95,94.9
"Hummingbird","
Action, Crime, Drama            ",6.2,"
    Director:
Steven Knight
| 
    Stars:
Jason Statham, 
Agata Buzek, 
Vicky McClure, 
Benedict Wong
",68546,100,0.03
"Paddington 2","
Animation, Adventure, Comedy            ",7.8,"
    Director:
Paul King
| 
    Stars:
Ben Whishaw, 
Hugh Grant, 
Hugh Bonneville, 
Sally Hawkins
",66462,103,40.44
"Gake no ue no Ponyo","
Animation, Adventure, Comedy            ",7.7,"
    Director:
Hayao Miyazaki
| 
    Stars:
Cate Blanchett, 
Matt Damon, 
Liam Neeson, 
Tomoko Yamaguchi
",131204,101,15.09
"Mechanic: Resurrection","
Action, Adventure, Crime            ",5.7,"
    Director:
Dennis Gansel
| 
    Stars:
Jason Statham, 
Jessica Alba, 
Tommy Lee Jones, 
Michelle Yeoh
",79668,98,21.22
"Scary Movie 5","
Comedy            ",3.5,"
    Directors:
Malcolm D. Lee, 
David Zucker
| 
    Stars:
Simon Rex, 
Ashley Tisdale, 
Charlie Sheen, 
Lindsay Lohan
",67762,88,32.02
"Kill Me Three Times","
Action, Comedy, Crime            ",5.9,"
    Director:
Kriv Stenders
| 
    Stars:
Simon Pegg, 
Teresa Palmer, 
Alice Braga, 
Luke Hemsworth
",22359,90,0.02
"Killers","
Action, Comedy, Romance            ",5.5,"
    Director:
Robert Luketic
| 
    Stars:
Katherine Heigl, 
Ashton Kutcher, 
Tom Selleck, 
Catherine O'Hara
",89080,100,47.06
"The Lorax","
Animation, Adventure, Comedy            ",6.4,"
    Directors:
Chris Renaud, 
Kyle Balda
| 
    Stars:
Zac Efron, 
Taylor Swift, 
Danny DeVito, 
Ed Helms
",103009,86,214.03
"Alice Through the Looking Glass","
Adventure, Family, Fantasy            ",6.2,"
    Director:
James Bobin
| 
    Stars:
Mia Wasikowska, 
Johnny Depp, 
Helena Bonham Carter, 
Anne Hathaway
",98302,113,77.04
"Macbeth","
Drama, History, War            ",6.6,"
    Director:
Justin Kurzel
| 
    Stars:
Michael Fassbender, 
Marion Cotillard, 
Jack Madigan, 
Frank Madigan
",54067,113,1.11
"The Infiltrator","
Biography, Crime, Drama            ",7,"
    Director:
Brad Furman
| 
    Stars:
Bryan Cranston, 
John Leguizamo, 
Diane Kruger, 
Amy Ryan
",70858,127,15.43
"Doom","
Action, Horror, Sci-Fi            ",5.2,"
    Director:
Andrzej Bartkowiak
| 
    Stars:
Karl Urban, 
Rosamund Pike, 
Dwayne Johnson, 
Deobia Oparei
",110028,105,28.21
"Kaze no tani no Naushika","
Animation, Adventure, Fantasy            ",8.1,"
    Director:
Hayao Miyazaki
| 
    Stars:
Sumi Shimamoto, 
Mahito Tsujimura, 
Hisako Kyôda, 
Gorô Naya
",157520,117,0.5
"The Last Stand","
Action, Thriller            ",6.3,"
    Director:
Jee-woon Kim
| 
    Stars:
Arnold Schwarzenegger, 
Forest Whitaker, 
Johnny Knoxville, 
Rodrigo Santoro
",135448,107,12.05
"De rouille et d'os","
Drama, Romance            ",7.5,"
    Director:
Jacques Audiard
| 
    Stars:
Marion Cotillard, 
Matthias Schoenaerts, 
Armand Verdure, 
Céline Sallette
",65455,120,2.06
"Young Guns II","
Action, Western            ",6.5,"
    Director:
Geoff Murphy
| 
    Stars:
Emilio Estevez, 
Kiefer Sutherland, 
Lou Diamond Phillips, 
Christian Slater
",33616,104,44.14
"Pan","
Adventure, Comedy, Family            ",5.7,"
    Director:
Joe Wright
| 
    Stars:
Levi Miller, 
Hugh Jackman, 
Garrett Hedlund, 
Rooney Mara
",61772,111,35.09
"The Iceman","
Biography, Crime, Drama            ",6.8,"
    Director:
Ariel Vromen
| 
    Stars:
Michael Shannon, 
Chris Evans, 
James Franco, 
Winona Ryder
",72326,106,1.94
"Hannibal Rising","
Action, Adventure, Crime            ",6.2,"
    Director:
Peter Webber
| 
    Stars:
Gaspard Ulliel, 
Rhys Ifans, 
Gong Li, 
Aaran Thomas
",106197,121,27.67
"The Day the Earth Stood Still","
Drama, Sci-Fi, Thriller            ",5.5,"
    Director:
Scott Derrickson
| 
    Stars:
Keanu Reeves, 
Jennifer Connelly, 
Kathy Bates, 
Jaden Smith
",165900,104,79.37
"The Adventures of Sharkboy and Lavagirl 3-D","
Action, Adventure, Comedy            ",3.7,"
    Director:
Robert Rodriguez
| 
    Stars:
Cayden Boyd, 
George Lopez, 
Kristin Davis, 
David Arquette
",34853,93,39.18
"Taken 2","
Action, Crime, Thriller            ",6.3,"
    Director:
Olivier Megaton
| 
    Stars:
Liam Neeson, 
Famke Janssen, 
Maggie Grace, 
Leland Orser
",295140,92,139.85
"The Ugly Truth","
Comedy, Romance            ",6.4,"
    Director:
Robert Luketic
| 
    Stars:
Katherine Heigl, 
Gerard Butler, 
Bree Turner, 
Eric Winter
",209052,96,88.92
"Sweet Virginia","
Action, Drama, Thriller            ",6.2,"
    Director:
Jamie M. Dagg
| 
    Stars:
Jon Bernthal, 
Christopher Abbott, 
Imogen Poots, 
Rosemarie DeWitt
",9324,93,0.01
"Deliver Us from Evil","
Action, Biography, Crime            ",6.2,"
    Director:
Scott Derrickson
| 
    Stars:
Eric Bana, 
Edgar Ramírez, 
Olivia Munn, 
Chris Coy
",73461,118,30.58
"The Human Centipede II (Full Sequence)","
Horror            ",3.8,"
    Director:
Tom Six
| 
    Stars:
Laurence R. Harvey, 
Ashlynn Yennie, 
Maddi Black, 
Kandace Caine
",36912,91,0.12
"Dead Man Down","
Action, Crime, Drama            ",6.5,"
    Director:
Niels Arden Oplev
| 
    Stars:
Colin Farrell, 
Noomi Rapace, 
Dominic Cooper, 
Terrence Howard
",65672,118,10.88
"Step Up","
Crime, Drama, Music            ",6.5,"
    Director:
Anne Fletcher
| 
    Stars:
Channing Tatum, 
Jenna Dewan, 
Damaine Radcliff, 
De'Shawn Washington
",113232,104,65.33
"Child 44","
Crime, Drama, History            ",6.5,"
    Director:
Daniel Espinosa
| 
    Stars:
Tom Hardy, 
Gary Oldman, 
Noomi Rapace, 
Joel Kinnaman
",67925,137,1.21
"Berlin Syndrome","
Drama, Horror, Mystery            ",6.3,"
    Director:
Cate Shortland
| 
    Stars:
Teresa Palmer, 
Max Riemelt, 
Matthias Habich, 
Emma Bading
",23476,116,0.03
"Office Christmas Party","
Comedy            ",5.9,"
    Directors:
Josh Gordon, 
Will Speck
| 
    Stars:
Jason Bateman, 
Olivia Munn, 
T.J. Miller, 
Jennifer Aniston
",72433,105,54.77
"White Girl","
Crime, Drama            ",5.7,"
    Director:
Elizabeth Wood
| 
    Stars:
Morgan Saylor, 
Brian Marc, 
Justin Bartha, 
Adrian Martinez
",10127,88,0.2
"Mercury Rising","
Action, Crime, Drama            ",6.1,"
    Director:
Harold Becker
| 
    Stars:
Bruce Willis, 
Miko Hughes, 
Alec Baldwin, 
Chi McBride
",70935,111,32.94
"Suburbicon","
Comedy, Crime, Drama            ",5.7,"
    Director:
George Clooney
| 
    Stars:
Matt Damon, 
Julianne Moore, 
Oscar Isaac, 
Noah Jupe
",41867,105,5.78
"Better Watch Out","
Comedy, Horror, Thriller            ",6.5,"
    Director:
Chris Peckover
| 
    Stars:
Olivia DeJonge, 
Levi Miller, 
Ed Oxenbould, 
Aleks Mikic
",33703,89,0.02
"Safe","
Action, Crime, Thriller            ",6.5,"
    Director:
Boaz Yakin
| 
    Stars:
Jason Statham, 
Catherine Chan, 
Chris Sarandon, 
Robert John Burke
",106164,94,17.14
"Killerman","
Action, Crime, Thriller            ",5.4,"
    Director:
Malik Bader
| 
    Stars:
Liam Hemsworth, 
Emory Cohen, 
Diane Guerrero, 
Zlatko Buric
",4495,112,0.28
"The Devil's Own","
Action, Crime, Drama            ",6.2,"
    Director:
Alan J. Pakula
| 
    Stars:
Harrison Ford, 
Brad Pitt, 
Margaret Colin, 
Rubén Blades
",62161,111,42.87
"Kaze tachinu","
Animation, Biography, Drama            ",7.8,"
    Director:
Hayao Miyazaki
| 
    Stars:
Hideaki Anno, 
Hidetoshi Nishijima, 
Miori Takimoto, 
Masahiko Nishimura
",77732,126,5.21
"Super Dark Times","
Crime, Drama, Horror            ",6.6,"
    Director:
Kevin Phillips
| 
    Stars:
Owen Campbell, 
Charlie Tahan, 
Elizabeth Cappuccino, 
Amy Hargreaves
",20965,103,0.03
"Zwartboek","
Drama, Thriller, War            ",7.7,"
    Director:
Paul Verhoeven
| 
    Stars:
Carice van Houten, 
Sebastian Koch, 
Thom Hoffman, 
Halina Reijn
",74139,145,4.4
"See No Evil, Hear No Evil","
Comedy, Crime            ",6.9,"
    Director:
Arthur Hiller
| 
    Stars:
Richard Pryor, 
Gene Wilder, 
Joan Severance, 
Kevin Spacey
",51788,103,46.91
"Beasts of No Nation","
Drama, War            ",7.7,"
    Director:
Cary Joji Fukunaga
| 
    Stars:
Abraham Attah, 
Emmanuel Affadzi, 
Ricky Adelayitor, 
Andrew Adote
",76530,137,0.08
"Isn't It Romantic","
Comedy, Fantasy, Musical            ",5.9,"
    Director:
Todd Strauss-Schulson
| 
    Stars:
Rebel Wilson, 
Liam Hemsworth, 
Adam Devine, 
Priyanka Chopra Jonas
",65584,89,48.79
"The Ghost Writer","
Crime, Drama, Mystery            ",7.2,"
    Director:
Roman Polanski
| 
    Stars:
Ewan McGregor, 
Pierce Brosnan, 
Olivia Williams, 
Jon Bernthal
",159090,128,15.54
"Valley of the Dolls","
Drama, Music, Romance            ",6,"
    Director:
Mark Robson
| 
    Stars:
Barbara Parkins, 
Patty Duke, 
Paul Burke, 
Sharon Tate
",7900,123,44.43
"The Shack","
Drama, Fantasy            ",6.3,"
    Director:
Stuart Hazeldine
| 
    Stars:
Sam Worthington, 
Octavia Spencer, 
Tim McGraw, 
Radha Mitchell
",31775,132,57.39
"Maggie","
Drama, Horror, Sci-Fi            ",5.6,"
    Director:
Henry Hobson
| 
    Stars:
Arnold Schwarzenegger, 
Abigail Breslin, 
Joely Richardson, 
Laura Cayouette
",42895,95,0.19
"Broken City","
Action, Crime, Drama            ",6.2,"
    Director:
Allen Hughes
| 
    Stars:
Mark Wahlberg, 
Russell Crowe, 
Catherine Zeta-Jones, 
Jeffrey Wright
",77749,109,19.7
"Step Up 2: The Streets","
Drama, Music, Romance            ",6.2,"
    Director:
Jon M. Chu
| 
    Stars:
Robert Hoffman, 
Briana Evigan, 
Cassie Ventura, 
Adam Sevani
",82792,98,58.02
"Contraband","
Action, Crime, Drama            ",6.4,"
    Director:
Baltasar Kormákur
| 
    Stars:
Mark Wahlberg, 
Giovanni Ribisi, 
Kate Beckinsale, 
Robert Wahlberg
",119261,109,66.53
"The Client","
Crime, Drama, Mystery            ",6.7,"
    Director:
Joel Schumacher
| 
    Stars:
Susan Sarandon, 
Tommy Lee Jones, 
Brad Renfro, 
Mary-Louise Parker
",62748,119,92.12
"Mirror Mirror","
Adventure, Comedy, Drama            ",5.6,"
    Director:
Tarsem Singh
| 
    Stars:
Lily Collins, 
Julia Roberts, 
Armie Hammer, 
Nathan Lane
",85615,106,64.94
"I Spit on Your Grave 2","
Horror, Thriller            ",5.7,"
    Director:
Steven R. Monroe
| 
    Stars:
Jemma Dallender, 
Joe Absolom, 
Yavor Baharov, 
George Zlatarev
",28118,106,0
"The Great Gatsby","
Drama, Romance            ",6.4,"
    Director:
Jack Clayton
| 
    Stars:
Robert Redford, 
Mia Farrow, 
Bruce Dern, 
Karen Black
",24087,144,6.74
"Thelma","
Drama, Fantasy, Horror            ",7,"
    Director:
Joachim Trier
| 
    Stars:
Eili Harboe, 
Kaya Wilkins, 
Henrik Rafaelsen, 
Ellen Dorrit Petersen
",28282,116,0.15
"Step Up 3D","
Drama, Music, Romance            ",6.2,"
    Director:
Jon M. Chu
| 
    Stars:
Sharni Vinson, 
Rick Malambri, 
Adam Sevani, 
Alyson Stoner
",56610,107,42.4
"Triple Threat","
Action, Thriller            ",5.6,"
    Director:
Jesse V. Johnson
| 
    Stars:
Tony Jaa, 
Tiger Hu Chen, 
Iko Uwais, 
Scott Adkins
",10345,96,0.08
"Kari-gurashi no Arietti","
Animation, Adventure, Family            ",7.6,"
    Director:
Hiromasa Yonebayashi
| 
    Stars:
Amy Poehler, 
Will Arnett, 
Mirai Shida, 
Ryûnosuke Kamiki
",84951,94,19.2
"Step Up Revolution","
Drama, Music, Romance            ",6.4,"
    Director:
Scott Speer
| 
    Stars:
Kathryn McCormick, 
Ryan Guzman, 
Cleopatra Coleman, 
Misha Gabriel Hamilton
",54763,99,35.07
"Cloudy with a Chance of Meatballs 2","
Animation, Adventure, Comedy            ",6.4,"
    Directors:
Cody Cameron, 
Kris Pearn
| 
    Stars:
Bill Hader, 
Anna Faris, 
Will Forte, 
Neil Patrick Harris
",94660,95,119.79
"Brooklyn's Finest","
Action, Crime, Drama            ",6.7,"
    Director:
Antoine Fuqua
| 
    Stars:
Richard Gere, 
Don Cheadle, 
Ethan Hawke, 
Wesley Snipes
",61994,132,27.15
"Mirrors","
Horror, Mystery            ",6.1,"
    Director:
Alexandre Aja
| 
    Stars:
Kiefer Sutherland, 
Paula Patton, 
Amy Smart, 
Cameron Boyce
",103973,110,30.69
"Honeymoon","
Drama, Fantasy, Horror            ",5.7,"
    Director:
Leigh Janiak
| 
    Stars:
Rose Leslie, 
Harry Treadaway, 
Ben Huber, 
Hanna Brown
",24861,87,0.01
"Touch of Evil","
Crime, Drama, Film-Noir            ",8,"
    Director:
Orson Welles
| 
    Stars:
Charlton Heston, 
Orson Welles, 
Janet Leigh, 
Joseph Calleia
",100664,95,2.24
"True Story","
Biography, Crime, Drama            ",6.3,"
    Director:
Rupert Goold
| 
    Stars:
James Franco, 
Jonah Hill, 
Felicity Jones, 
Maria Dizzia
",65679,99,4.72
"Planes","
Animation, Adventure, Comedy            ",5.7,"
    Director:
Klay Hall
| 
    Stars:
Carlos Alazraqui, 
Dane Cook, 
Stacy Keach, 
Brad Garrett
",43335,91,90.29
"Omoide no Mânî","
Animation, Drama, Family            ",7.7,"
    Directors:
James Simone, 
Hiromasa Yonebayashi
| 
    Stars:
Sara Takatsuki, 
Kasumi Arimura, 
Nanako Matsushima, 
Susumu Terajima
",35523,103,0.77
"The One I Love","
Comedy, Drama, Romance            ",7.1,"
    Director:
Charlie McDowell
| 
    Stars:
Mark Duplass, 
Elisabeth Moss, 
Ted Danson, 
Kiana Cason
",37373,91,0.51
"Jeepers Creepers 3","
Horror            ",3.9,"
    Director:
Victor Salva
| 
    Stars:
Stan Shaw, 
Gabrielle Haugh, 
Brandon Smith, 
Meg Foster
",19260,100,2.24
"Geronimo: An American Legend","
Drama, History, Western            ",6.5,"
    Director:
Walter Hill
| 
    Stars:
Jason Patric, 
Gene Hackman, 
Robert Duvall, 
Wes Studi
",10096,115,18.64
"The Immigrant","
Drama, Romance            ",6.6,"
    Director:
James Gray
| 
    Stars:
Marion Cotillard, 
Joaquin Phoenix, 
Jeremy Renner, 
Dagmara Dominczyk
",30649,120,2.01
"Step Up All In","
Drama, Music, Romance            ",6,"
    Director:
Trish Sie
| 
    Stars:
Ryan Guzman, 
Briana Evigan, 
Adam Sevani, 
Misha Gabriel Hamilton
",33247,112,14.9
"Take Me","
Comedy, Crime, Mystery            ",6.1,"
    Director:
Pat Healy
| 
    Stars:
Pat Healy, 
Taylor Schilling, 
Alycia Delmore, 
Jim O'Heir
",5088,83,0
"Un long dimanche de fiançailles","
Drama, Mystery, Romance            ",7.6,"
    Director:
Jean-Pierre Jeunet
| 
    Stars:
Audrey Tautou, 
Gaspard Ulliel, 
Jodie Foster, 
Dominique Pinon
",71916,133,6.17
"Kokuriko-zaka kara","
Animation, Drama, Family            ",7.4,"
    Director:
Gorô Miyazaki
| 
    Stars:
Sarah Bolger, 
Chris Noth, 
Anton Yelchin, 
Christina Hendricks
",38625,91,1
"Extremely Loud & Incredibly Close","
Adventure, Drama, Mystery            ",6.9,"
    Director:
Stephen Daldry
| 
    Stars:
Thomas Horn, 
Tom Hanks, 
Sandra Bullock, 
Max von Sydow
",99165,129,31.85
"Red Riding Hood","
Fantasy, Horror, Mystery            ",5.5,"
    Director:
Catherine Hardwicke
| 
    Stars:
Amanda Seyfried, 
Lukas Haas, 
Gary Oldman, 
Billy Burke
",109473,100,37.66
"Get Rich or Die Tryin'","
Biography, Crime, Drama            ",5.4,"
    Director:
Jim Sheridan
| 
    Stars:
50 Cent, 
Joy Bryant, 
Adewale Akinnuoye-Agbaje, 
Omar Benson Miller
",45092,117,30.98
"Hit and Run","
Action, Adventure, Comedy            ",6.1,"
    Directors:
David Palmer, 
Dax Shepard
| 
    Stars:
Dax Shepard, 
Kristen Bell, 
Bradley Cooper, 
Kristin Chenoweth
",35252,100,13.75
"Duck Butter","
Comedy, Drama, Romance            ",5.3,"
    Director:
Miguel Arteta
| 
    Stars:
Alia Shawkat, 
Drew Langer, 
Marc Maron, 
Mark Duplass
",3531,93,0.01
"Liu lang di qiu","
Action, Adventure, Sci-Fi            ",6,"
    Director:
Frant Gwo
| 
    Stars:
Jing Wu, 
Chuxiao Qu, 
Guangjie Li, 
Man-Tat Ng
",28264,125,5.88
"Philomena","
Biography, Comedy, Drama            ",7.6,"
    Director:
Stephen Frears
| 
    Stars:
Judi Dench, 
Steve Coogan, 
Sophie Kennedy Clark, 
Mare Winningham
",96244,98,37.71
"Alvin and the Chipmunks: The Squeakquel","
Animation, Adventure, Comedy            ",4.5,"
    Director:
Betty Thomas
| 
    Stars:
Jason Lee, 
Zachary Levi, 
David Cross, 
Justin Long
",45491,88,219.61
"In the Name of the King: A Dungeon Siege Tale","
Action, Adventure, Fantasy            ",3.8,"
    Director:
Uwe Boll
| 
    Stars:
Jason Statham, 
Ron Perlman, 
Ray Liotta, 
Leelee Sobieski
",46327,127,4.54
"The Little Mermaid","
Adventure, Drama, Fantasy            ",4.3,"
    Directors:
Blake Harris, 
Chris Bouchard
| 
    Stars:
William Moseley, 
Poppy Drayton, 
Loreto Peralta, 
Armando Gutierrez
",8546,85,7.15
"Miss Bala","
Action, Crime, Drama            ",5.8,"
    Director:
Catherine Hardwicke
| 
    Stars:
Gina Rodriguez, 
Thomas Dekker, 
Vivian Chan, 
Barbarella Pardo
",10048,104,15.01
"John Dies at the End","
Comedy, Fantasy, Horror            ",6.4,"
    Director:
Don Coscarelli
| 
    Stars:
Chase Williamson, 
Rob Mayes, 
Paul Giamatti, 
Clancy Brown
",37007,99,0.14
"Kaguya-hime no monogatari","
Animation, Adventure, Drama            ",8,"
    Director:
Isao Takahata
| 
    Stars:
Chloë Grace Moretz, 
James Caan, 
Mary Steenburgen, 
James Marsden
",41510,137,1.51
"Dumbo","
Animation, Adventure, Drama            ",7.2,"
    Directors:
Samuel Armstrong, 
Norman Ferguson, 
Wilfred Jackson, 
Jack Kinney, 
Bill Roberts, 
Ben Sharpsteen, 
John Elliotte
| 
    Stars:
Sterling Holloway, 
Edward Brophy, 
Herman Bing, 
Mel Blanc
",124409,64,1.6
